field,ethnicity_race,count,sex,SE_type,year,prop_byfield,prop_bysex,prop
Physical and Related sciences,*Other,7000,Male,SE_field,2023,0.014767932489451477,0.020527859237536656,8.059873344847438e-4
Social and Related sciences,Hispanic or Latino,37000,Male,SE_field,2023,0.050340136054421766,0.1,0.004260218767990789
Social and Related sciences,*Other,NA,Male,SE_field,2023,NA,NA,NA
Social and Related sciences,Asian,24000,Male,SE_field,2023,0.0326530612244898,0.06486486486486487,0.002763385146804836
Social and Related sciences,Black or African American,21000,Male,SE_field,2023,0.02857142857142857,0.05675675675675676,0.0024179620034542313
Social and Related sciences,*Other,NA,Male,SE_field,2023,NA,NA,NA
Social and Related sciences,White,278000,Male,SE_field,2023,0.3782312925170068,0.7513513513513513,0.03200921128382268
Social and Related sciences,*Other,10000,Male,SE_field,2023,0.013605442176870748,0.02702702702702703,0.0011514104778353484
Engineering,Hispanic or Latino,184000,Male,SE_field,2023,0.0755336617405583,0.09041769041769042,0.02118595279217041
Engineering,*Other,1000,Male,SE_field,2023,4.1050903119868636e-4,4.914004914004914e-4,1.1514104778353483e-4
Engineering,Asian,469000,Male,SE_field,2023,0.1925287356321839,0.23046683046683047,0.054001151410477836
Engineering,Black or African American,79000,Male,SE_field,2023,0.032430213464696225,0.03882063882063882,0.009096142774899252
Engineering,*Other,NA,Male,SE_field,2023,NA,NA,NA
Engineering,White,1255000,Male,SE_field,2023,0.5151888341543513,0.6167076167076168,0.1445020149683362
Engineering,*Other,47000,Male,SE_field,2023,0.01929392446633826,0.023095823095823097,0.005411629245826137
Science & Engineering Related fields,Hispanic or Latino,32000,Male,SE_related_fields,2023,0.06130268199233716,0.10223642172523961,0.0036845135290731147
Science & Engineering Related fields,*Other,NA,Male,SE_related_fields,2023,NA,NA,NA
Science & Engineering Related fields,Asian,71000,Male,SE_related_fields,2023,0.1360153256704981,0.2268370607028754,0.008175014392630972
Science & Engineering Related fields,Black or African American,21000,Male,SE_related_fields,2023,0.040229885057471264,0.0670926517571885,0.0024179620034542313
Science & Engineering Related fields,*Other,NA,Male,SE_related_fields,2023,NA,NA,NA
Science & Engineering Related fields,White,179000,Male,SE_related_fields,2023,0.342911877394636,0.5718849840255591,0.020610247553252733
Science & Engineering Related fields,*Other,10000,Male,SE_related_fields,2023,0.019157088122605363,0.03194888178913738,0.0011514104778353484
Non-science & Engineering fields,Hispanic or Latino,123000,Male,non_SE_fields,2023,0.07418576598311219,0.11861137897782063,0.014162348877374784
Non-science & Engineering fields,*Other,NA,Male,non_SE_fields,2023,NA,NA,NA
Non-science & Engineering fields,Asian,114000,Male,non_SE_fields,2023,0.06875753920386007,0.10993249758919961,0.013126079447322971
Non-science & Engineering fields,Black or African American,65000,Male,non_SE_fields,2023,0.039203860072376355,0.0626808100289296,0.007484168105929764
Non-science & Engineering fields,*Other,NA,Male,non_SE_fields,2023,NA,NA,NA
Non-science & Engineering fields,White,705000,Male,non_SE_fields,2023,0.425211097708082,0.6798457087753134,0.08117443868739206
Non-science & Engineering fields,*Other,30000,Male,non_SE_fields,2023,0.018094089264173704,0.02892960462873674,0.0034542314335060447
