field,ethnicity_race,count,sex,SE_type,year,prop_byfield,prop_bysex,prop
"Biological, Agricultural, and Environmental Life sciences",Hispanic or Latino,33000,Female,SE_field,2019,0.04700854700854701,0.1,0.004439660971344007
"Biological, Agricultural, and Environmental Life sciences",Other,NA,Female,SE_field,2019,NA,NA,NA
"Biological, Agricultural, and Environmental Life sciences",Asian,63000,Female,SE_field,2019,0.08974358974358974,0.19090909090909092,0.008475716399838558
"Biological, Agricultural, and Environmental Life sciences",Black or African American,13000,Female,SE_field,2019,0.018518518518518517,0.03939393939393939,0.001748957352347639
"Biological, Agricultural, and Environmental Life sciences",Other,NA,Female,SE_field,2019,NA,NA,NA
"Biological, Agricultural, and Environmental Life sciences",White,215000,Female,SE_field,2019,0.30626780626780625,0.6515151515151515,0.02892506390421095
"Biological, Agricultural, and Environmental Life sciences",Other,6000,Female,SE_field,2019,0.008547008547008548,0.01818181818181818,8.072110856989103e-4
Computer and Mathematical sciences,Hispanic or Latino,16000,Female,SE_field,2019,0.009592326139088728,0.04050632911392405,0.002152562895197094
Computer and Mathematical sciences,Other,NA,Female,SE_field,2019,NA,NA,NA
Computer and Mathematical sciences,Asian,171000,Female,SE_field,2019,0.10251798561151079,0.43291139240506327,0.023005515942418942
Computer and Mathematical sciences,Black or African American,28000,Female,SE_field,2019,0.016786570743405275,0.07088607594936709,0.0037669850665949145
Computer and Mathematical sciences,Other,NA,Female,SE_field,2019,NA,NA,NA
Computer and Mathematical sciences,White,172000,Female,SE_field,2019,0.10311750599520383,0.43544303797468353,0.02314005112336876
Computer and Mathematical sciences,Other,8000,Female,SE_field,2019,0.004796163069544364,0.020253164556962026,0.001076281447598547
Physical and Related sciences,Hispanic or Latino,9000,Female,SE_field,2019,0.021479713603818614,0.08181818181818182,0.0012108166285483655
Physical and Related sciences,Other,NA,Female,SE_field,2019,NA,NA,NA
Physical and Related sciences,Asian,22000,Female,SE_field,2019,0.05250596658711217,0.2,0.0029597739808960044
