field,DegreeLevel,SE_type,ethnicity_race,count
S&E occupations,Bachelors,SE_field,Hispanic or Latino,534000
S&E occupations,Bachelors,SE_field,Other,7000
S&E occupations,Bachelors,SE_field,Asian,732000
S&E occupations,Bachelors,SE_field,Black or African American,282000
S&E occupations,Bachelors,SE_field,Other,5000
S&E occupations,Bachelors,SE_field,White,3333000
S&E occupations,Bachelors,SE_field,Other,158000
"Biological, agricultural, and other life scientists",Bachelors,SE_field,Hispanic or Latino,30000
"Biological, agricultural, and other life scientists",Bachelors,SE_field,Other,NA
"Biological, agricultural, and other life scientists",Bachelors,SE_field,Asian,30000
"Biological, agricultural, and other life scientists",Bachelors,SE_field,Black or African American,16000
"Biological, agricultural, and other life scientists",Bachelors,SE_field,Other,NA
"Biological, agricultural, and other life scientists",Bachelors,SE_field,White,230000
"Biological, agricultural, and other life scientists",Bachelors,SE_field,Other,7000
Computer and mathematical scientists,Bachelors,SE_field,Hispanic or Latino,307000
Computer and mathematical scientists,Bachelors,SE_field,Other,NA
Computer and mathematical scientists,Bachelors,SE_field,Asian,517000
Computer and mathematical scientists,Bachelors,SE_field,Black or African American,195000
Computer and mathematical scientists,Bachelors,SE_field,Other,NA
Computer and mathematical scientists,Bachelors,SE_field,White,1866000
Computer and mathematical scientists,Bachelors,SE_field,Other,98000
Physical and related scientists,Bachelors,SE_field,Hispanic or Latino,22000
Physical and related scientists,Bachelors,SE_field,Other,NA
Physical and related scientists,Bachelors,SE_field,Asian,12000
Physical and related scientists,Bachelors,SE_field,Black or African American,8000
Physical and related scientists,Bachelors,SE_field,Other,NA
Physical and related scientists,Bachelors,SE_field,White,136000
Physical and related scientists,Bachelors,SE_field,Other,4000
Social and related scientists,Bachelors,SE_field,Hispanic or Latino,27000
Social and related scientists,Bachelors,SE_field,Other,NA
Social and related scientists,Bachelors,SE_field,Asian,20000
Social and related scientists,Bachelors,SE_field,Black or African American,15000
Social and related scientists,Bachelors,SE_field,Other,NA
Social and related scientists,Bachelors,SE_field,White,97000
Social and related scientists,Bachelors,SE_field,Other,NA
Engineers,Bachelors,SE_field,Hispanic or Latino,148000
Engineers,Bachelors,SE_field,Other,2000
Engineers,Bachelors,SE_field,Asian,153000
Engineers,Bachelors,SE_field,Black or African American,48000
Engineers,Bachelors,SE_field,Other,NA
Engineers,Bachelors,SE_field,White,1004000
Engineers,Bachelors,SE_field,Other,43000
